country,battingPos,BATTING,dismissal,R,B,4s,6s,SR,match id
South Africa,2,Reeza Hendricks,out,85,75,9,3,113.33,ODI # 4677
South Africa,3,Rassie van der Dussen,out,60,61,8,0,98.36,ODI # 4677
South Africa,4,Aiden Markram(c),out,42,44,4,0,95.45,ODI # 4677
South Africa,5,Heinrich Klaasen,out,109,67,12,4,162.68,ODI # 4677
South Africa,6,David Miller,out,5,6,1,0,83.33,ODI # 4677
South Africa,7,Marco Jansen,not out ,75,42,3,6,178.57,ODI # 4677
South Africa,8,Gerald Coetzee,out,3,3,0,0,100.00,ODI # 4677
South Africa,9,Keshav Maharaj,not out ,1,1,0,0,100.00,ODI # 4677
England,1,Jonny Bairstow,out,10,12,1,1,83.33,ODI # 4677
England,2,Dawid Malan,out,6,11,1,0,54.54,ODI # 4677
England,3,Joe Root,out,2,6,0,0,33.33,ODI # 4677
England,4,Ben Stokes,out,5,8,1,0,62.50,ODI # 4677
England,5,Harry Brook,out,17,25,2,1,68.00,ODI # 4677
England,6,Jos Buttler(c),out,15,7,2,1,214.28,ODI # 4677
England,7,David Willey,out,12,12,1,1,100.00,ODI # 4677
England,8,Adil Rashid,out,10,14,1,0,71.42,ODI # 4677
England,9,Gus Atkinson,out,35,21,7,0,166.66,ODI # 4677
England,10,Mark Wood,not out ,43,17,2,5,252.94,ODI # 4677
England,11,Reece Topley,out,-,-,-,-,-,ODI # 4677
New Zealand,1,Devon Conway,out,0,9,0,0,0.00,ODI # 4678
New Zealand,2,Will Young,out,17,27,3,0,62.96,ODI # 4678
New Zealand,3,Rachin Ravindra,out,75,87,6,1,86.20,ODI # 4678
New Zealand,4,Daryl Mitchell,out,130,127,9,5,102.36,ODI # 4678
New Zealand,5,Tom Latham(c),out,5,7,1,0,71.42,ODI # 4678
New Zealand,6,Glenn Phillips,out,23,26,0,1,88.46,ODI # 4678
New Zealand,7,Mark Chapman,out,6,8,0,0,75.00,ODI # 4678
New Zealand,8,Mitchell Santner,out,1,2,0,0,50.00,ODI # 4678
New Zealand,9,Matt Henry,out,0,1,0,0,0.00,ODI # 4678
New Zealand,10,Lockie Ferguson,out,1,5,0,0,20.00,ODI # 4678
New Zealand,11,Trent Boult,not out ,0,1,0,0,0.00,ODI # 4678
India,1,Rohit Sharma(c),out,46,40,4,4,115.00,ODI # 4678
India,2,Shubman Gill,out,26,31,5,0,83.87,ODI # 4678
India,3,Virat Kohli,out,95,104,8,2,91.34,ODI # 4678
India,4,Shreyas Iyer,out,33,29,6,0,113.79,ODI # 4678
India,5,KL Rahul,out,27,35,3,0,77.14,ODI # 4678
India,6,Suryakumar Yadav,out,2,4,0,0,50.00,ODI # 4678
India,7,Ravindra Jadeja,not out ,39,44,3,1,88.63,ODI # 4678
India,8,Mohammed Shami,not out ,1,1,0,0,100.00,ODI # 4678
Pakistan,1,Abdullah Shafique,out,58,75,5,2,77.33,ODI # 4679
Pakistan,2,Imam-ul-Haq,out,17,22,2,0,77.27,ODI # 4679
Pakistan,3,Babar Azam(c),out,74,92,4,1,80.43,ODI # 4679
Pakistan,4,Mohammad Rizwan,out,8,10,0,1,80.00,ODI # 4679
Pakistan,5,Saud Shakeel,out,25,34,3,0,73.52,ODI # 4679
Pakistan,6,Shadab Khan,out,40,38,1,1,105.26,ODI # 4679
Pakistan,7,Iftikhar Ahmed,out,40,27,2,4,148.14,ODI # 4679
Pakistan,8,Shaheen Shah Afridi,not out ,3,3,0,0,100.00,ODI # 4679
Afghanistan,1,Rahmanullah Gurbaz,out,65,53,9,1,122.64,ODI # 4679
Afghanistan,2,Ibrahim Zadran,out,87,113,10,0,76.99,ODI # 4679
Afghanistan,3,Rahmat Shah,not out ,77,84,5,2,91.66,ODI # 4679
Afghanistan,4,Hashmatullah Shahidi(c),not out ,48,45,4,0,106.66,ODI # 4679
South Africa,1,Quinton de Kock,out,174,140,15,7,124.28,ODI # 4680
South Africa,2,Reeza Hendricks,out,12,19,1,0,63.15,ODI # 4680
South Africa,3,Rassie van der Dussen,out,1,7,0,0,14.28,ODI # 4680
South Africa,4,Aiden Markram(c),out,60,69,7,0,86.95,ODI # 4680
South Africa,5,Heinrich Klaasen,out,90,49,2,8,183.67,ODI # 4680
South Africa,6,David Miller,not out ,34,15,1,4,226.66,ODI # 4680
South Africa,7,Marco Jansen,not out ,1,1,0,0,100.00,ODI # 4680
Bangladesh,1,Tanzid Hasan,out,12,17,1,0,70.58,ODI # 4680
Bangladesh,2,Litton Das,out,22,44,3,1,50.00,ODI # 4680
Bangladesh,3,Najmul Hossain Shanto,out,0,1,0,0,0.00,ODI # 4680
Bangladesh,4,Shakib Al Hasan(c),out,1,4,0,0,25.00,ODI # 4680
Bangladesh,5,Mushfiqur Rahim,out,8,17,1,0,47.05,ODI # 4680
Bangladesh,6,Mahmudullah,out,111,111,11,4,100.00,ODI # 4680
Bangladesh,7,Mehidy Hasan Miraz,out,11,19,1,0,57.89,ODI # 4680
Bangladesh,8,Nasum Ahmed,out,19,19,3,0,100.00,ODI # 4680
Bangladesh,9,Hasan Mahmud,out,15,25,2,0,60.00,ODI # 4680
Bangladesh,10,Mustafizur Rahman,out,11,21,2,0,52.38,ODI # 4680
Bangladesh,11,Shoriful Islam,not out ,6,4,1,0,150.00,ODI # 4680
Australia,1,Mitchell Marsh,out,9,15,2,0,60.00,ODI # 4681
Australia,2,David Warner,out,104,93,11,3,111.82,ODI # 4681
Australia,3,Steven Smith,out,71,68,9,1,104.41,ODI # 4681
Australia,4,Marnus Labuschagne,out,62,47,7,2,131.91,ODI # 4681
Australia,5,Josh Inglis,out,14,12,1,1,116.66,ODI # 4681
Australia,6,Glenn Maxwell,out,106,44,9,8,240.90,ODI # 4681
Australia,7,Cameron Green,out,8,11,1,0,72.72,ODI # 4681
Australia,8,Pat Cummins(c),not out ,12,9,2,0,133.33,ODI # 4681
Australia,9,Mitchell Starc,out,0,1,0,0,0.00,ODI # 4681
Australia,10,Adam Zampa,not out ,1,1,0,0,100.00,ODI # 4681
Netherlands,1,Vikramjit Singh,out,25,25,6,0,100.00,ODI # 4681
Netherlands,2,Max O'Dowd,out,6,9,1,0,66.66,ODI # 4681
Netherlands,3,Colin Ackermann,out,10,11,2,0,90.90,ODI # 4681
Netherlands,4,Sybrand Engelbrecht,out,11,21,1,0,52.38,ODI # 4681
Netherlands,5,Bas de Leede,out,4,7,1,0,57.14,ODI # 4681
Netherlands,6,Scott Edwards(c),not out ,12,22,0,0,54.54,ODI # 4681
Netherlands,7,Teja Nidamanuru,out,14,18,2,0,77.77,ODI # 4681
Netherlands,8,Logan van Beek,out,0,3,0,0,0.00,ODI # 4681
Netherlands,9,Roelof van der Merwe,out,0,1,0,0,0.00,ODI # 4681
Netherlands,10,Aryan Dutt,out,1,8,0,0,12.50,ODI # 4681
Netherlands,11,Paul van Meekeren,out,0,1,0,0,0.00,ODI # 4681
England,1,Jonny Bairstow,out,30,31,3,0,96.77,ODI # 4682
England,2,Dawid Malan,out,28,25,6,0,112.00,ODI # 4682
England,3,Joe Root,out,3,10,0,0,30.00,ODI # 4682
England,4,Ben Stokes,out,43,73,6,0,58.90,ODI # 4682
England,5,Jos Buttler(c),out,8,6,1,0,133.33,ODI # 4682
England,6,Liam Livingstone,out,1,6,0,0,16.66,ODI # 4682
England,7,Moeen Ali,out,15,15,1,0,100.00,ODI # 4682
England,8,Chris Woakes,out,0,4,0,0,0.00,ODI # 4682
England,9,David Willey,not out ,14,17,1,1,82.35,ODI # 4682
England,10,Adil Rashid,out,2,7,0,0,28.57,ODI # 4682
England,11,Mark Wood,out,5,6,1,0,83.33,ODI # 4682
Sri Lanka,1,Pathum Nissanka,not out ,77,83,7,2,92.77,ODI # 4682
Sri Lanka,2,Kusal Perera,out,4,5,1,0,80.00,ODI # 4682
Sri Lanka,3,Kusal Mendis(c),out,11,12,2,0,91.66,ODI # 4682
Sri Lanka,4,Sadeera Samarawickrama,not out ,65,54,7,1,120.37,ODI # 4682
Pakistan,1,Abdullah Shafique,out,9,17,1,0,52.94,ODI # 4683
Pakistan,2,Imam-ul-Haq,out,12,18,2,0,66.66,ODI # 4683
Pakistan,3,Babar Azam(c),out,50,65,4,1,76.92,ODI # 4683
Pakistan,4,Mohammad Rizwan,out,31,27,4,1,114.81,ODI # 4683
Pakistan,5,Iftikhar Ahmed,out,21,31,1,1,67.74,ODI # 4683
Pakistan,6,Saud Shakeel,out,52,52,7,0,100.00,ODI # 4683
Pakistan,7,Shadab Khan,out,43,36,3,2,119.44,ODI # 4683
Pakistan,8,Mohammad Nawaz,out,24,24,1,2,100.00,ODI # 4683
Pakistan,9,Shaheen Shah Afridi,out,2,4,0,0,50.00,ODI # 4683
Pakistan,10,Mohammad Wasim,out,7,9,0,1,77.77,ODI # 4683
Pakistan,11,Haris Rauf,not out ,0,1,0,0,0.00,ODI # 4683
South Africa,1,Temba Bavuma(c),out,28,27,4,1,103.70,ODI # 4683
South Africa,2,Quinton de Kock,out,24,14,5,0,171.42,ODI # 4683
South Africa,3,Rassie van der Dussen,out,21,39,0,0,53.84,ODI # 4683
South Africa,4,Aiden Markram,out,91,93,7,3,97.84,ODI # 4683
South Africa,5,Heinrich Klaasen,out,12,10,0,1,120.00,ODI # 4683
South Africa,6,David Miller,out,29,33,2,2,87.87,ODI # 4683
South Africa,7,Marco Jansen,out,20,14,2,1,142.85,ODI # 4683
South Africa,8,Gerald Coetzee,out,10,13,0,0,76.92,ODI # 4683
South Africa,9,Keshav Maharaj,not out ,7,21,1,0,33.33,ODI # 4683
South Africa,10,Lungi Ngidi,out,4,14,0,0,28.57,ODI # 4683
South Africa,11,Tabraiz Shamsi,not out ,4,6,0,0,66.66,ODI # 4683
Australia,1,David Warner,out,81,65,5,6,124.61,ODI # 4684
Australia,2,Travis Head,out,109,67,10,7,162.68,ODI # 4684
Australia,3,Mitchell Marsh,out,36,51,2,0,70.58,ODI # 4684
Australia,4,Steven Smith,out,18,17,2,0,105.88,ODI # 4684
Australia,5,Marnus Labuschagne,out,18,26,2,0,69.23,ODI # 4684
Australia,6,Glenn Maxwell,out,41,24,5,2,170.83,ODI # 4684
Australia,7,Josh Inglis,out,38,28,4,1,135.71,ODI # 4684
Australia,8,Pat Cummins(c),out,37,14,2,4,264.28,ODI # 4684
Australia,9,Mitchell Starc,out,1,3,0,0,33.33,ODI # 4684
Australia,10,Adam Zampa,out,0,3,0,0,0.00,ODI # 4684
Australia,11,Josh Hazlewood,not out ,0,0,0,0,-,ODI # 4684
New Zealand,1,Devon Conway,out,28,17,6,0,164.70,ODI # 4684
New Zealand,2,Will Young,out,32,37,4,1,86.48,ODI # 4684
New Zealand,3,Rachin Ravindra,out,116,89,9,5,130.33,ODI # 4684
New Zealand,4,Daryl Mitchell,out,54,51,6,1,105.88,ODI # 4684
New Zealand,5,Tom Latham(c),out,21,22,2,0,95.45,ODI # 4684
New Zealand,6,Glenn Phillips,out,12,16,1,0,75.00,ODI # 4684
New Zealand,7,James Neesham,out,58,39,3,3,148.71,ODI # 4684
New Zealand,8,Mitchell Santner,out,17,12,1,1,141.66,ODI # 4684
New Zealand,9,Matt Henry,out,9,8,1,0,112.50,ODI # 4684
New Zealand,10,Trent Boult,not out ,10,8,0,1,125.00,ODI # 4684
New Zealand,11,Lockie Ferguson,not out ,0,1,0,0,0.00,ODI # 4684
Netherlands,1,Vikramjit Singh,out,3,9,0,0,33.33,ODI # 4685
Netherlands,2,Max O'Dowd,out,0,3,0,0,0.00,ODI # 4685
Netherlands,3,Wesley Barresi,out,41,41,8,0,100.00,ODI # 4685
Netherlands,4,Colin Ackermann,out,15,33,1,0,45.45,ODI # 4685
Netherlands,5,Scott Edwards(c),out,68,89,6,0,76.40,ODI # 4685
Netherlands,6,Bas de Leede,out,17,32,2,0,53.12,ODI # 4685
Netherlands,7,Sybrand Engelbrecht,out,35,61,3,0,57.37,ODI # 4685
Netherlands,8,Logan van Beek,not out ,23,16,2,1,143.75,ODI # 4685
Netherlands,9,Shariz Ahmad,out,6,8,0,0,75.00,ODI # 4685
Netherlands,10,Aryan Dutt,out,9,6,0,1,150.00,ODI # 4685
Netherlands,11,Paul van Meekeren,out,0,2,0,0,0.00,ODI # 4685
Bangladesh,1,Litton Das,out,3,12,0,0,25.00,ODI # 4685
Bangladesh,2,Tanzid Hasan,out,15,16,3,0,93.75,ODI # 4685
Bangladesh,3,Mehidy Hasan Miraz,out,35,40,5,1,87.50,ODI # 4685
Bangladesh,4,Najmul Hossain Shanto,out,9,18,2,0,50.00,ODI # 4685
Bangladesh,5,Shakib Al Hasan(c),out,5,14,0,0,35.71,ODI # 4685
Bangladesh,6,Mushfiqur Rahim,out,1,5,0,0,20.00,ODI # 4685
Bangladesh,7,Mahmudullah,out,20,41,2,0,48.78,ODI # 4685
Bangladesh,8,Mahedi Hasan,out,17,38,1,0,44.73,ODI # 4685
Bangladesh,9,Taskin Ahmed,out,11,35,1,0,31.42,ODI # 4685
Bangladesh,10,Mustafizur Rahman,out,20,35,2,1,57.14,ODI # 4685
Bangladesh,11,Shoriful Islam,not out ,0,0,0,0,-,ODI # 4685
India,1,Rohit Sharma(c),out,87,101,10,3,86.13,ODI # 4686
India,2,Shubman Gill,out,9,13,1,0,69.23,ODI # 4686
India,3,Virat Kohli,out,0,9,0,0,0.00,ODI # 4686
India,4,Shreyas Iyer,out,4,16,0,0,25.00,ODI # 4686
India,5,KL Rahul,out,39,58,3,0,67.24,ODI # 4686
India,6,Suryakumar Yadav,out,49,47,4,1,104.25,ODI # 4686
India,7,Ravindra Jadeja,out,8,13,0,0,61.53,ODI # 4686
India,8,Mohammed Shami,out,1,5,0,0,20.00,ODI # 4686
India,9,Jasprit Bumrah,out,16,25,1,0,64.00,ODI # 4686
India,10,Kuldeep Yadav,not out ,9,13,1,0,69.23,ODI # 4686
England,1,Jonny Bairstow,out,14,23,2,0,60.86,ODI # 4686
England,2,Dawid Malan,out,16,17,2,1,94.11,ODI # 4686
England,3,Joe Root,out,0,1,0,0,0.00,ODI # 4686
England,4,Ben Stokes,out,0,10,0,0,0.00,ODI # 4686
England,5,Jos Buttler(c),out,10,23,1,0,43.47,ODI # 4686
England,6,Moeen Ali,out,15,31,0,0,48.38,ODI # 4686
England,7,Liam Livingstone,out,27,46,2,0,58.69,ODI # 4686
England,8,Chris Woakes,out,10,20,1,0,50.00,ODI # 4686
England,9,David Willey,not out ,16,17,0,2,94.11,ODI # 4686
England,10,Adil Rashid,out,13,20,2,0,65.00,ODI # 4686
England,11,Mark Wood,out,0,1,0,0,0.00,ODI # 4686
Sri Lanka,1,Pathum Nissanka,out,46,60,5,0,76.66,ODI # 4687
Sri Lanka,2,Dimuth Karunaratne,out,15,21,1,0,71.42,ODI # 4687
Sri Lanka,3,Kusal Mendis(c),out,39,50,3,0,78.00,ODI # 4687
Sri Lanka,4,Sadeera Samarawickrama,out,36,40,3,0,90.00,ODI # 4687
Sri Lanka,5,Charith Asalanka,out,22,28,2,0,78.57,ODI # 4687
Sri Lanka,6,Dhananjaya de Silva,out,14,26,1,0,53.84,ODI # 4687
Sri Lanka,7,Angelo Mathews,out,23,26,1,1,88.46,ODI # 4687
Sri Lanka,8,Dushmantha Chameera,out,1,4,0,0,25.00,ODI # 4687
Sri Lanka,9,Maheesh Theekshana,out,29,31,3,1,93.54,ODI # 4687
Sri Lanka,10,Kasun Rajitha,out,5,7,0,0,71.42,ODI # 4687
Sri Lanka,11,Dilshan Madushanka,not out ,0,4,0,0,0.00,ODI # 4687
Afghanistan,1,Rahmanullah Gurbaz,out,0,4,0,0,0.00,ODI # 4687
Afghanistan,2,Ibrahim Zadran,out,39,57,4,1,68.42,ODI # 4687
Afghanistan,3,Rahmat Shah,out,62,74,7,0,83.78,ODI # 4687
Afghanistan,4,Hashmatullah Shahidi(c),not out ,58,74,2,1,78.37,ODI # 4687
Afghanistan,5,Azmatullah Omarzai,not out ,73,63,6,3,115.87,ODI # 4687
Bangladesh,1,Tanzid Hasan,out,0,5,0,0,0.00,ODI # 4688
Bangladesh,2,Litton Das,out,45,64,6,0,70.31,ODI # 4688
Bangladesh,3,Najmul Hossain Shanto,out,4,3,1,0,133.33,ODI # 4688
Bangladesh,4,Mushfiqur Rahim,out,5,8,1,0,62.50,ODI # 4688
Bangladesh,5,Mahmudullah,out,56,70,6,1,80.00,ODI # 4688
Bangladesh,6,Shakib Al Hasan(c),out,43,64,4,0,67.18,ODI # 4688
Bangladesh,7,Towhid Hridoy,out,7,3,0,1,233.33,ODI # 4688
Bangladesh,8,Mehidy Hasan Miraz,out,25,30,1,1,83.33,ODI # 4688
Bangladesh,9,Taskin Ahmed,out,6,13,0,0,46.15,ODI # 4688
Bangladesh,10,Mustafizur Rahman,out,3,7,0,0,42.85,ODI # 4688
Bangladesh,11,Shoriful Islam,not out ,1,4,0,0,25.00,ODI # 4688
Pakistan,1,Abdullah Shafique,out,68,69,9,2,98.55,ODI # 4688
Pakistan,2,Fakhar Zaman,out,81,74,3,7,109.45,ODI # 4688
Pakistan,3,Babar Azam(c),out,9,16,1,0,56.25,ODI # 4688
Pakistan,4,Mohammad Rizwan,not out ,26,21,4,0,123.80,ODI # 4688
Pakistan,5,Iftikhar Ahmed,not out ,17,15,2,0,113.33,ODI # 4688
South Africa,1,Quinton de Kock,out,114,116,10,3,98.27,ODI # 4689
South Africa,2,Temba Bavuma(c),out,24,28,4,1,85.71,ODI # 4689
South Africa,3,Rassie van der Dussen,out,133,118,9,5,112.71,ODI # 4689
South Africa,4,David Miller,out,53,30,2,4,176.66,ODI # 4689
South Africa,5,Heinrich Klaasen,not out ,15,7,1,1,214.28,ODI # 4689
South Africa,6,Aiden Markram,not out ,6,1,0,1,600.00,ODI # 4689
New Zealand,1,Devon Conway,out,2,6,0,0,33.33,ODI # 4689
New Zealand,2,Will Young,out,33,37,5,0,89.18,ODI # 4689
New Zealand,3,Rachin Ravindra,out,9,16,1,0,56.25,ODI # 4689
New Zealand,4,Daryl Mitchell,out,24,30,4,0,80.00,ODI # 4689
New Zealand,5,Tom Latham(c),out,4,15,0,0,26.66,ODI # 4689
New Zealand,6,Glenn Phillips,out,60,50,4,4,120.00,ODI # 4689
New Zealand,7,Mitchell Santner,out,7,18,1,0,38.88,ODI # 4689
New Zealand,8,Tim Southee,out,7,11,1,0,63.63,ODI # 4689
New Zealand,9,James Neesham,out,0,8,0,0,0.00,ODI # 4689
New Zealand,10,Trent Boult,out,9,14,1,0,64.28,ODI # 4689
New Zealand,11,Matt Henry,not out ,0,9,0,0,0.00,ODI # 4689
India,1,Rohit Sharma(c),out,4,2,1,0,200.00,ODI # 4690
India,2,Shubman Gill,out,92,92,11,2,100.00,ODI # 4690
India,3,Virat Kohli,out,88,94,11,0,93.61,ODI # 4690
India,4,Shreyas Iyer,out,82,56,3,6,146.42,ODI # 4690
India,5,KL Rahul,out,21,19,2,0,110.52,ODI # 4690
India,6,Suryakumar Yadav,out,12,9,2,0,133.33,ODI # 4690
India,7,Ravindra Jadeja,out,35,24,1,1,145.83,ODI # 4690
India,8,Mohammed Shami,out,2,4,0,0,50.00,ODI # 4690
India,9,Jasprit Bumrah,not out ,1,1,0,0,100.00,ODI # 4690
Sri Lanka,1,Pathum Nissanka,out,0,1,0,0,0.00,ODI # 4690
Sri Lanka,2,Dimuth Karunaratne,out,0,1,0,0,0.00,ODI # 4690
Sri Lanka,3,Kusal Mendis(c),out,1,10,0,0,10.00,ODI # 4690
Sri Lanka,4,Sadeera Samarawickrama,out,0,4,0,0,0.00,ODI # 4690
Sri Lanka,5,Charith Asalanka,out,1,24,0,0,4.16,ODI # 4690
Sri Lanka,6,Angelo Mathews,out,12,25,1,0,48.00,ODI # 4690
Sri Lanka,7,Dushan Hemantha,out,0,1,0,0,0.00,ODI # 4690
Sri Lanka,8,Dushmantha Chameera,out,0,6,0,0,0.00,ODI # 4690
Sri Lanka,9,Maheesh Theekshana,not out ,12,23,2,0,52.17,ODI # 4690
Sri Lanka,10,Kasun Rajitha,out,14,17,2,0,82.35,ODI # 4690
Sri Lanka,11,Dilshan Madushanka,out,5,6,1,0,83.33,ODI # 4690
Netherlands,1,Wesley Barresi,out,1,4,0,0,25.00,ODI # 4691
Netherlands,2,Max O'Dowd,out,42,40,9,0,105.00,ODI # 4691
Netherlands,3,Colin Ackermann,out,29,35,4,0,82.85,ODI # 4691
Netherlands,4,Sybrand Engelbrecht,out,58,86,6,0,67.44,ODI # 4691
Netherlands,5,Scott Edwards(c),out,0,1,0,0,0.00,ODI # 4691
Netherlands,6,Bas de Leede,out,3,6,0,0,50.00,ODI # 4691
Netherlands,7,Saqib Zulfiqar,out,3,15,0,0,20.00,ODI # 4691
Netherlands,8,Logan van Beek,out,2,13,0,0,15.38,ODI # 4691
Netherlands,9,Roelof van der Merwe,out,11,33,0,0,33.33,ODI # 4691
Netherlands,10,Aryan Dutt,not out ,10,22,0,0,45.45,ODI # 4691
Netherlands,11,Paul van Meekeren,out,4,24,0,0,16.66,ODI # 4691
Afghanistan,1,Rahmanullah Gurbaz,out,10,11,2,0,90.90,ODI # 4691
Afghanistan,2,Ibrahim Zadran,out,20,34,2,0,58.82,ODI # 4691
Afghanistan,3,Rahmat Shah,out,52,54,8,0,96.29,ODI # 4691
Afghanistan,4,Hashmatullah Shahidi(c),not out ,56,64,6,0,87.50,ODI # 4691
Afghanistan,5,Azmatullah Omarzai,not out ,31,28,3,0,110.71,ODI # 4691
New Zealand,1,Devon Conway,out,35,39,6,0,89.74,ODI # 4692
New Zealand,2,Rachin Ravindra,out,108,94,15,1,114.89,ODI # 4692
New Zealand,3,Kane Williamson(c),out,95,79,10,2,120.25,ODI # 4692
New Zealand,4,Daryl Mitchell,out,29,18,4,1,161.11,ODI # 4692
New Zealand,5,Mark Chapman,out,39,27,7,0,144.44,ODI # 4692
New Zealand,6,Glenn Phillips,out,41,25,4,2,164.00,ODI # 4692
New Zealand,7,Mitchell Santner,not out ,26,17,0,2,152.94,ODI # 4692
New Zealand,8,Tom Latham,not out ,2,2,0,0,100.00,ODI # 4692
Pakistan,1,Abdullah Shafique,out,4,9,1,0,44.44,ODI # 4692
Pakistan,2,Fakhar Zaman,not out ,126,81,8,11,155.55,ODI # 4692
Pakistan,3,Babar Azam(c),not out ,66,63,6,2,104.76,ODI # 4692
Australia,1,Travis Head,out,11,10,1,0,110.00,ODI # 4693
Australia,2,David Warner,out,15,16,1,1,93.75,ODI # 4693
Australia,3,Steven Smith,out,44,52,3,0,84.61,ODI # 4693
Australia,4,Marnus Labuschagne,out,71,83,7,0,85.54,ODI # 4693
Australia,5,Josh Inglis,out,3,6,0,0,50.00,ODI # 4693
Australia,6,Cameron Green,out,47,52,5,0,90.38,ODI # 4693
Australia,7,Marcus Stoinis,out,35,32,3,2,109.37,ODI # 4693
Australia,8,Pat Cummins(c),out,10,13,1,0,76.92,ODI # 4693
Australia,9,Mitchell Starc,out,10,13,0,0,76.92,ODI # 4693
Australia,10,Adam Zampa,out,29,19,4,0,152.63,ODI # 4693
Australia,11,Josh Hazlewood,not out ,1,1,0,0,100.00,ODI # 4693
England,1,Jonny Bairstow,out,0,1,0,0,0.00,ODI # 4693
England,2,Dawid Malan,out,50,64,4,1,78.12,ODI # 4693
England,3,Joe Root,out,13,17,2,0,76.47,ODI # 4693
England,4,Ben Stokes,out,64,90,2,3,71.11,ODI # 4693
England,5,Jos Buttler(c),out,1,7,0,0,14.28,ODI # 4693
England,6,Moeen Ali,out,42,43,6,0,97.67,ODI # 4693
England,7,Liam Livingstone,out,2,5,0,0,40.00,ODI # 4693
England,8,Chris Woakes,out,32,33,4,1,96.96,ODI # 4693
England,9,David Willey,out,15,14,3,0,107.14,ODI # 4693
England,10,Adil Rashid,out,20,15,1,1,133.33,ODI # 4693
England,11,Mark Wood,not out ,0,0,0,0,-,ODI # 4693
India,1,Rohit Sharma(c),out,40,24,6,2,166.66,ODI # 4694
India,2,Shubman Gill,out,23,24,4,1,95.83,ODI # 4694
India,3,Virat Kohli,not out ,101,121,10,0,83.47,ODI # 4694
India,4,Shreyas Iyer,out,77,87,7,2,88.50,ODI # 4694
India,5,KL Rahul,out,8,17,0,0,47.05,ODI # 4694
India,6,Suryakumar Yadav,out,22,14,5,0,157.14,ODI # 4694
India,7,Ravindra Jadeja,not out ,29,15,3,1,193.33,ODI # 4694
South Africa,1,Quinton de Kock,out,5,10,1,0,50.00,ODI # 4694
South Africa,2,Temba Bavuma(c),out,11,19,1,0,57.89,ODI # 4694
South Africa,3,Rassie van der Dussen,out,13,32,1,0,40.62,ODI # 4694
South Africa,4,Aiden Markram,out,9,6,2,0,150.00,ODI # 4694
South Africa,5,Heinrich Klaasen,out,1,11,0,0,9.09,ODI # 4694
South Africa,6,David Miller,out,11,11,2,0,100.00,ODI # 4694
South Africa,7,Marco Jansen,out,14,30,1,0,46.66,ODI # 4694
South Africa,8,Keshav Maharaj,out,7,11,1,0,63.63,ODI # 4694
South Africa,9,Kagiso Rabada,out,6,26,0,0,23.07,ODI # 4694
South Africa,10,Lungi Ngidi,out,0,3,0,0,0.00,ODI # 4694
South Africa,11,Tabraiz Shamsi,not out ,4,4,1,0,100.00,ODI # 4694
Sri Lanka,1,Pathum Nissanka,out,41,36,8,0,113.88,ODI # 4695
Sri Lanka,2,Kusal Perera,out,4,5,1,0,80.00,ODI # 4695
Sri Lanka,3,Kusal Mendis(c),out,19,30,1,1,63.33,ODI # 4695
Sri Lanka,4,Sadeera Samarawickrama,out,41,42,4,0,97.61,ODI # 4695
Sri Lanka,5,Charith Asalanka,out,108,105,6,5,102.85,ODI # 4695
Sri Lanka,6,Angelo Mathews,out,0,0,0,0,-,ODI # 4695
Sri Lanka,7,Dhananjaya de Silva,out,34,36,4,1,94.44,ODI # 4695
Sri Lanka,8,Maheesh Theekshana,out,21,31,3,0,67.74,ODI # 4695
Sri Lanka,9,Dushmantha Chameera,out,4,9,0,0,44.44,ODI # 4695
Sri Lanka,10,Kasun Rajitha,out,0,2,0,0,0.00,ODI # 4695
Sri Lanka,11,Dilshan Madushanka,not out ,0,1,0,0,0.00,ODI # 4695
Bangladesh,1,Tanzid Hasan,out,9,5,2,0,180.00,ODI # 4695
Bangladesh,2,Litton Das,out,23,22,2,2,104.54,ODI # 4695
Bangladesh,3,Najmul Hossain Shanto,out,90,101,12,0,89.10,ODI # 4695
Bangladesh,4,Shakib Al Hasan(c),out,82,65,12,2,126.15,ODI # 4695
Bangladesh,5,Mahmudullah,out,22,23,3,1,95.65,ODI # 4695
Bangladesh,6,Mushfiqur Rahim,out,10,13,1,0,76.92,ODI # 4695
Bangladesh,7,Towhid Hridoy,not out ,15,7,0,2,214.28,ODI # 4695
Bangladesh,8,Mehidy Hasan Miraz,out,3,5,0,0,60.00,ODI # 4695
Bangladesh,9,Tanzim Hasan Sakib,not out ,5,6,1,0,83.33,ODI # 4695
Afghanistan,1,Rahmanullah Gurbaz,out,21,25,2,0,84.00,ODI # 4696
Afghanistan,2,Ibrahim Zadran,not out ,129,143,8,3,90.20,ODI # 4696
Afghanistan,3,Rahmat Shah,out,30,44,1,0,68.18,ODI # 4696
Afghanistan,4,Hashmatullah Shahidi(c),out,26,43,2,0,60.46,ODI # 4696
Afghanistan,5,Azmatullah Omarzai,out,22,18,1,2,122.22,ODI # 4696
Afghanistan,6,Mohammad Nabi,out,12,10,0,1,120.00,ODI # 4696
Afghanistan,7,Rashid Khan,not out ,35,18,2,3,194.44,ODI # 4696
Australia,1,David Warner,out,18,29,3,0,62.06,ODI # 4696
Australia,2,Travis Head,out,0,2,0,0,0.00,ODI # 4696
Australia,3,Mitchell Marsh,out,24,11,2,2,218.18,ODI # 4696
Australia,4,Marnus Labuschagne,out,14,28,2,0,50.00,ODI # 4696
